Age,GenderN,Education,Country,Ethnicity,Nscore,Escore,Oscore,Ascore,Cscore,Impulsive,SS,Alcohol,Amphet,Amyl,Benzos,Caff,Cannabis,Choc,Coke,Crack,Ecstasy,Heroin,Ketamine,Legalh,LSD,Meth,Mushrooms,Nicotine,Semer,VSA,Legais,Psicodelicos,Estimulantes,Inalantes
35 - 44,1,Doutorado,UK,Branco,0.7,0.65,0.75,0.7833333333333333,0.28571428571428575,0.5555555555555556,0.5,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
55 - 64,0,Doutorado,USA,Branco,0.5333333333333333,0.7166666666666667,0.8166666666666667,0.6666666666666666,0.5952380952380952,0.3333333333333333,0.6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1
55 - 64,1,Doutorado,UK,Branco,0.4166666666666667,0.6666666666666666,0.85,0.5833333333333334,0.761904761904762,0.3333333333333333,0.6,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
55 - 64,1,Doutorado,Outros,Outro,0.3333333333333333,0.8,0.8333333333333334,0.8333333333333334,0.7142857142857143,0.5555555555555556,0.6,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1
45 - 54,1,Doutorado,USA,Branco,0.6666666666666666,0.6166666666666667,0.8333333333333334,0.75,0.35714285714285715,0.7777777777777778,0.6,1,1,0,1,1,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,0
18 - 24,1,Doutorado,UK,Branco,0.23333333333333334,0.85,0.8333333333333334,0.8333333333333334,0.6428571428571428,0.2222222222222222,0.7,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1,1,1
35 - 44,1,Doutorado,UK,Branco,0.3333333333333333,0.8,0.8,0.8,0.8095238095238095,0.3333333333333333,0.7,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
45 - 54,0,Doutorado,UK,Branco/Asiatico,0.7166666666666667,0.65,0.9,0.6666666666666666,0.7142857142857143,0.5555555555555556,0.8,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
45 - 54,0,Doutorado,USA,Branco,0.6,0.6833333333333333,0.7666666666666667,0.6333333333333333,0.4523809523809524,0.6666666666666666,0.8,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1
45 - 54,1,Doutorado,UK,Branco,0.5666666666666667,0.6,0.8666666666666667,0.6333333333333333,0.5476190476190476,0.8888888888888888,0.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
35 - 44,0,Doutorado,UK,Branco,0.8,0.6833333333333333,0.7666666666666667,0.6,0.4761904761904763,0.3333333333333333,0.9,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1
18 - 24,1,Doutorado,UK,Branco,0.45,0.85,0.9333333333333333,0.8833333333333333,0.5,0.3333333333333333,0.9,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,1,1
25 - 34,1,Doutorado,USA,Branco,0.6833333333333333,0.8333333333333334,1.0,0.85,0.8571428571428572,0.5555555555555556,1.0,1,0,0,1,1,1,1,1,0,1,0,0,1,1,1,0,1,0,0,1,1,1,0
65+,1,Ensino Superior,UK,Branco,0.3333333333333333,0.65,0.7,0.95,0.6666666666666667,0.1111111111111111,0.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
25 - 34,0,Ensino Superior,UK,Branco,0.6666666666666666,0.7833333333333333,0.6333333333333333,0.95,0.7857142857142858,0.1111111111111111,0.1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
25 - 34,1,Ensino Superior,Canada,Branco,0.45,0.6333333333333333,0.75,0.5,0.5476190476190476,0.5555555555555556,0.1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
35 - 44,0,Ensino Superior,UK,Asiatico,0.43333333333333335,0.7166666666666667,0.75,0.7,0.6904761904761906,0.1111111111111111,0.2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
18 - 24,0,Ensino Superior,UK,Asiatico,0.75,0.5833333333333334,0.6833333333333333,0.75,0.5952380952380952,0.2222222222222222,0.4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
25 - 34,0,Ensino Superior,UK,Asiatico,0.55,0.8833333333333333,0.5,0.6166666666666667,0.5714285714285715,0.7777777777777778,0.5,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
25 - 34,1,Ensino Superior,UK,Negro,0.4,0.7,0.7,0.5666666666666667,0.880952380952381,0.2222222222222222,0.6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
18 - 24,0,Ensino Superior,UK,Asiatico,0.65,0.7333333333333333,0.8833333333333333,0.8333333333333334,0.5476190476190476,0.2222222222222222,0.8,0,1,0,1,1,1,1,0,0,1,0,0,1,0,0,1,1,0,1,1,1,1,1
18 - 24,1,Ensino Superior,UK,Asiatico,0.7333333333333333,0.7333333333333333,0.6666666666666666,0.4666666666666667,0.7380952380952382,0.8888888888888888,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35 - 44,0,Ensino Superior,UK,Branco,0.7,0.48333333333333334,0.7333333333333333,0.75,0.5714285714285715,0.2222222222222222,0.0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1
45 - 54,0,Ensino Superior,UK,Negro,0.55,0.6833333333333333,0.65,0.8,0.6904761904761906,0.4444444444444444,0.1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
45 - 54,1,Ensino Superior,UK,Branco,0.6333333333333333,0.5333333333333333,0.6833333333333333,0.6833333333333333,0.4761904761904763,0.4444444444444444,0.3,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,1,0,0,1,1,1,1
35 - 44,0,Ensino Superior,USA,Branco,0.8666666666666667,0.45,0.7,0.6833333333333333,0.35714285714285715,0.6666666666666666,0.3,1,1,0,1,1,1,1,1,1,0,1,0,1,0,0,0,1,0,1,1,0,1,1
25 - 34,0,Ensino Superior,UK,Branco,0.5,0.7333333333333333,0.5333333333333333,0.75,0.7142857142857143,0.2222222222222222,0.4,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
35 - 44,1,Ensino Superior,UK,Branco,0.4166666666666667,0.6833333333333333,0.75,0.6833333333333333,0.5238095238095238,0.3333333333333333,0.4,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,0,0,1,1,1,1
45 - 54,1,Ensino Superior,UK,Branco,0.5666666666666667,0.5833333333333334,0.8166666666666667,0.8,0.3333333333333334,0.4444444444444444,0.5,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1
45 - 54,1,Ensino Superior,USA,Branco,0.4166666666666667,0.7333333333333333,0.9833333333333333,0.8,0.7857142857142858,0.1111111111111111,0.6,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1
55 - 64,1,Ensino Superior,UK,Branco,0.4166666666666667,0.7833333333333333,0.7333333333333333,0.8333333333333334,0.7380952380952382,0.3333333333333333,0.6,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
35 - 44,0,Ensino Superior,UK,Negro,0.55,0.6666666666666666,0.7166666666666667,0.7166666666666667,0.5952380952380952,0.2222222222222222,0.0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
25 - 34,0,Ensino Superior,USA,Outro,0.7333333333333333,0.4666666666666667,0.7333333333333333,0.55,0.38095238095238104,0.1111111111111111,0.2,1,1,0,1,1,1,1,1,1,0,1,0,0,1,1,0,1,0,0,1,1,1,0
25 - 34,0,Ensino Superior,UK,Branco,0.8,0.7166666666666667,0.9166666666666666,0.75,0.7380952380952382,0.4444444444444444,0.3,1,0,1,1,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,1,1
55 - 64,1,Ensino Superior,USA,Branco,0.8666666666666667,0.4,0.6333333333333333,0.5833333333333334,0.5476190476190476,0.6666666666666666,0.3,1,1,0,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,1,1,1,1,1
45 - 54,1,Ensino Superior,UK,Branco,0.6666666666666666,0.7,0.75,0.7833333333333333,0.6666666666666667,0.2222222222222222,0.4,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1
55 - 64,0,Ensino Superior,USA,Branco,0.6666666666666666,0.7333333333333333,0.8166666666666667,0.8666666666666667,0.5714285714285715,0.6666666666666666,0.4,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,0
35 - 44,0,Ensino Superior,UK,Branco,0.6,0.7166666666666667,0.75,0.8166666666666667,0.6428571428571428,0.4444444444444444,0.5,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1,1,0,1,1,1,1,1
18 - 24,1,Ensino Superior,UK,Branco,0.55,0.6666666666666666,0.9166666666666666,0.8,0.7380952380952382,0.5555555555555556,0.5,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
45 - 54,0,Ensino Superior,UK,Branco,0.6833333333333333,0.75,0.7666666666666667,0.7333333333333333,0.5714285714285715,0.3333333333333333,0.6,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,1,0,0,1,1,1,1
55 - 64,1,Ensino Superior,UK,Branco,0.48333333333333334,0.6166666666666667,0.85,0.7166666666666667,0.5714285714285715,0.8888888888888888,0.6,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,1
35 - 44,1,Ensino Superior,USA,Branco,0.8,0.5333333333333333,0.8666666666666667,0.7333333333333333,0.4761904761904763,0.2222222222222222,0.7,1,1,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1
18 - 24,1,Ensino Superior,Outros,Branco,0.3333333333333333,0.7833333333333333,0.85,0.6833333333333333,0.7857142857142858,0.3333333333333333,0.7,1,1,1,0,1,1,1,0,0,0,0,0,1,1,0,1,1,0,0,1,1,1,1
25 - 34,1,Ensino Superior,UK,Branco,0.55,0.6833333333333333,0.7333333333333333,0.5833333333333334,0.7142857142857143,0.7777777777777778,0.7,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1
35 - 44,1,Ensino Superior,UK,Branco,0.5166666666666667,0.7833333333333333,0.7333333333333333,0.65,0.6190476190476191,0.4444444444444444,0.8,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,1,1,1,1
25 - 34,1,Ensino Superior,USA,Branco,0.7166666666666667,0.6833333333333333,0.6,0.5833333333333334,0.35714285714285715,0.4444444444444444,0.9,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
35 - 44,0,Ensino Superior,Canada,Branco,0.75,0.5833333333333334,0.9833333333333333,0.6666666666666666,0.8095238095238095,0.4444444444444444,0.9,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,1,1,0,0,1,1,1,0
35 - 44,0,Ensino Superior,UK,Branco,0.5833333333333334,0.7666666666666667,0.6333333333333333,0.8166666666666667,0.8333333333333335,0.1111111111111111,0.0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
35 - 44,1,Ensino Superior,UK,Branco,0.6166666666666667,0.4666666666666667,0.7,0.5833333333333334,0.5238095238095238,0.3333333333333333,0.0,1,1,0,0,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,1,1,1,0
45 - 54,0,Ensino Superior,UK,Branco,0.4,0.65,0.6666666666666666,0.7333333333333333,0.6904761904761906,0.1111111111111111,0.1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1
25 - 34,0,Ensino Superior,UK,Branco,0.5333333333333333,0.6166666666666667,0.6,0.8333333333333334,0.7380952380952382,0.1111111111111111,0.1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
25 - 34,1,Ensino Superior,UK,Branco,0.48333333333333334,0.6833333333333333,0.8333333333333334,0.7333333333333333,0.5476190476190476,0.4444444444444444,0.1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1
35 - 44,1,Ensino Superior,Canada,Branco,0.5,0.5833333333333334,0.48333333333333334,0.6833333333333333,0.5476190476190476,0.0,0.2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
35 - 44,0,Ensino Superior,UK,Outro,0.5666666666666667,0.6,0.6666666666666666,0.5833333333333334,0.5,0.1111111111111111,0.2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
25 - 34,0,Ensino Superior,Canada,Branco/Asiatico,0.45,0.8,0.7666666666666667,0.7166666666666667,0.6666666666666667,0.2222222222222222,0.2,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
25 - 34,0,Ensino Superior,UK,Branco,0.5,0.6166666666666667,0.8333333333333334,0.8666666666666667,0.7857142857142858,0.2222222222222222,0.2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
25 - 34,0,Ensino Superior,USA,Branco,0.9166666666666666,0.5,0.95,0.8,0.40476190476190477,0.4444444444444444,0.2,1,1,0,1,1,1,1,0,0,0,0,0,1,1,1,0,1,0,0,1,1,1,0
18 - 24,1,Ensino Superior,USA,Branco,0.6666666666666666,0.43333333333333335,0.65,0.8,0.30952380952380953,0.1111111111111111,0.3,1,1,0,1,1,1,1,1,0,0,1,0,0,0,1,0,1,0,1,1,0,1,1
25 - 34,0,Ensino Superior,UK,Branco,0.9333333333333333,0.4,0.65,0.8333333333333334,0.4761904761904763,0.1111111111111111,0.3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
45 - 54,0,Ensino Superior,UK,Branco,0.43333333333333335,0.65,0.6333333333333333,0.6666666666666666,0.6904761904761906,0.1111111111111111,0.3,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
45 - 54,0,Ensino Superior,USA,Branco,0.4166666666666667,0.7666666666666667,0.7166666666666667,0.8,0.7380952380952382,0.2222222222222222,0.3,1,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0
35 - 44,0,Ensino Superior,UK,Branco,0.6833333333333333,0.65,0.7166666666666667,0.7,0.4761904761904763,0.1111111111111111,0.4,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,1,1,1,1
25 - 34,1,Ensino Superior,UK,Branco,0.6166666666666667,0.6333333333333333,0.65,0.5666666666666667,0.5952380952380952,0.4444444444444444,0.4,1,1,1,0,1,1,1,1,0,1,0,1,0,0,0,1,1,0,0,1,1,1,1
25 - 34,0,Ensino Superior,UK,Branco,0.5666666666666667,0.7166666666666667,0.7166666666666667,0.6333333333333333,0.7380952380952382,0.5555555555555556,0.4,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
25 - 34,0,Ensino Superior,Nova Zelandia,Branco,0.6333333333333333,0.6666666666666666,0.75,0.8833333333333333,0.7380952380952382,0.1111111111111111,0.5,1,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0
25 - 34,0,Ensino Superior,UK,Branco,0.5666666666666667,0.6333333333333333,0.6666666666666666,0.6833333333333333,0.8095238095238095,0.2222222222222222,0.5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
25 - 34,0,Ensino Superior,UK,Branco,0.4166666666666667,0.7,0.8666666666666667,0.5833333333333334,0.4523809523809524,0.3333333333333333,0.5,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
25 - 34,0,Ensino Superior,UK,Outro,0.6,0.5666666666666667,0.7333333333333333,0.6666666666666666,0.4761904761904763,0.3333333333333333,0.5,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
25 - 34,0,Ensino Superior,UK,Branco,0.8,0.7,0.8,0.8,0.4761904761904763,0.4444444444444444,0.5,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,1,1,1
25 - 34,0,Ensino Superior,UK,Branco,0.5,0.6833333333333333,0.7,0.8,0.38095238095238104,0.3333333333333333,0.6,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1
35 - 44,1,Ensino Superior,USA,Branco,0.65,0.48333333333333334,0.5666666666666667,0.5333333333333333,0.7142857142857143,0.2222222222222222,0.7,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
25 - 34,0,Ensino Superior,UK,Branco,0.4,0.75,0.6166666666666667,0.6,0.5714285714285715,0.3333333333333333,0.7,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,1,0,1,1,1,1,1
25 - 34,1,Ensino Superior,USA,Branco,0.6833333333333333,0.6,0.85,0.5333333333333333,0.6666666666666667,0.3333333333333333,0.7,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1
45 - 54,0,Ensino Superior,UK,Branco,0.8833333333333333,0.55,0.9333333333333333,0.7166666666666667,0.5238095238095238,0.4444444444444444,0.7,1,1,0,0,1,1,1,1,0,1,0,0,1,0,0,1,1,0,0,1,1,1,0
18 - 24,0,Ensino Superior,UK,Branco,0.6166666666666667,0.7333333333333333,0.7666666666666667,0.4666666666666667,0.8333333333333335,0.4444444444444444,0.7,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
18 - 24,1,Ensino Superior,Australia,Branco,0.35,0.5666666666666667,0.7,0.5833333333333334,0.35714285714285715,0.4444444444444444,0.8,1,1,1,0,1,1,1,1,0,1,0,0,1,1,0,1,0,0,1,1,1,1,1
25 - 34,1,Ensino Superior,USA,Branco,0.7,0.6166666666666667,0.8,0.5,0.42857142857142866,0.5555555555555556,0.8,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1
18 - 24,1,Ensino Superior,USA,Branco,0.8333333333333334,0.48333333333333334,0.7666666666666667,0.48333333333333334,0.4523809523809524,0.6666666666666666,0.8,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0
35 - 44,0,Ensino Superior,UK,Branco,0.5333333333333333,0.7333333333333333,0.8333333333333334,0.6833333333333333,0.5952380952380952,0.6666666666666666,0.8,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,1,0,0,1,1,1,1
45 - 54,1,Ensino Superior,USA,Branco,0.7,0.5666666666666667,0.7666666666666667,0.6666666666666666,0.30952380952380953,0.7777777777777778,0.8,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,0,0,1,1,1,1
35 - 44,0,Ensino Superior,Australia,Branco,0.55,0.6833333333333333,0.7333333333333333,0.6833333333333333,0.6666666666666667,0.6666666666666666,0.9,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
25 - 34,0,Ensino Superior,USA,Branco,0.8833333333333333,0.43333333333333335,0.95,0.6166666666666667,0.6428571428571428,0.4444444444444444,1.0,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,1,1,0,0,1,1,1,1
25 - 34,0,Ensino Superior,UK,Branco,0.5666666666666667,0.5333333333333333,0.5666666666666667,0.8166666666666667,0.7142857142857143,0.2222222222222222,0.0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
45 - 54,0,Ensino Superior,USA,Branco,0.85,0.36666666666666664,0.7833333333333333,0.7166666666666667,0.21428571428571433,0.6666666666666666,0.0,1,1,0,1,1,1,1,1,0,1,1,0,0,1,0,1,0,0,0,1,1,1,0
35 - 44,0,Ensino Superior,Canada,Branco,0.6166666666666667,0.5333333333333333,0.8,0.7,0.7142857142857143,0.1111111111111111,0.1,1,1,0,0,1,1,1,1,0,0,0,0,0,1,0,1,1,0,0,1,1,1,0
35 - 44,0,Ensino Superior,UK,Branco,0.7,0.55,0.6833333333333333,0.7,0.7142857142857143,0.1111111111111111,0.1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
45 - 54,0,Ensino Superior,UK,Branco,0.43333333333333335,0.36666666666666664,0.6166666666666667,0.8833333333333333,0.6190476190476191,0.2222222222222222,0.1,1,1,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1
45 - 54,0,Ensino Superior,UK,Branco,0.4166666666666667,0.8333333333333334,0.8,0.8,0.6666666666666667,0.0,0.2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
18 - 24,0,Ensino Superior,UK,Branco,0.65,0.6833333333333333,0.5833333333333334,0.7666666666666667,0.761904761904762,0.1111111111111111,0.2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
45 - 54,0,Ensino Superior,UK,Branco,0.4666666666666667,0.8666666666666667,0.6833333333333333,0.9166666666666666,0.8333333333333335,0.3333333333333333,0.2,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
18 - 24,1,Ensino Superior,UK,Negro,0.5,0.7,0.7,0.85,0.42857142857142866,0.4444444444444444,0.2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
18 - 24,0,Ensino Superior,UK,Branco,0.55,0.6833333333333333,0.6833333333333333,0.8833333333333333,0.761904761904762,0.4444444444444444,0.2,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
18 - 24,1,Ensino Superior,UK,Branco,0.8,0.6166666666666667,0.7833333333333333,0.7333333333333333,0.2619047619047619,0.5555555555555556,0.2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
45 - 54,0,Ensino Superior,UK,Branco,0.4,0.85,0.7666666666666667,0.7333333333333333,0.880952380952381,0.1111111111111111,0.3,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
18 - 24,0,Ensino Superior,UK,Branco,0.6166666666666667,0.75,0.8,0.7,0.7142857142857143,0.2222222222222222,0.3,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
18 - 24,0,Ensino Superior,UK,Branco,0.5666666666666667,0.55,0.6,0.6666666666666666,0.6428571428571428,0.5555555555555556,0.3,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
45 - 54,0,Ensino Superior,UK,Branco,0.7,0.6,0.85,0.7,0.6666666666666667,0.5555555555555556,0.3,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
45 - 54,0,Ensino Superior,UK,Branco,0.45,0.43333333333333335,0.6,0.8666666666666667,0.7380952380952382,0.1111111111111111,0.4,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
25 - 34,0,Ensino Superior,UK,Branco,0.5666666666666667,0.65,0.65,0.7333333333333333,0.6666666666666667,0.2222222222222222,0.4,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
25 - 34,0,Ensino Superior,UK,Branco,0.4,0.6,0.75,0.7666666666666667,0.761904761904762,0.2222222222222222,0.4,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
25 - 34,0,Ensino Superior,UK,Branco,0.6,0.7166666666666667,0.6333333333333333,0.7833333333333333,0.8571428571428572,0.2222222222222222,0.4,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
18 - 24,1,Ensino Superior,USA,Branco,0.6,0.75,0.8666666666666667,0.6666666666666666,0.7857142857142858,0.4444444444444444,0.4,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
55 - 64,0,Ensino Superior,UK,Branco,0.3333333333333333,0.8333333333333334,0.8166666666666667,0.8,0.8333333333333335,0.4444444444444444,0.4,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
25 - 34,0,Ensino Superior,USA,Branco,0.7833333333333333,0.5,0.6166666666666667,0.5166666666666667,0.3333333333333334,0.5555555555555556,0.4,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,1,0,0,1,1,1,1
25 - 34,1,Ensino Superior,USA,Outro,0.7833333333333333,0.65,0.9,0.48333333333333334,0.7380952380952382,0.5555555555555556,0.4,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
25 - 34,0,Ensino Superior,UK,Branco,0.7666666666666667,0.75,0.6833333333333333,0.85,0.5714285714285715,0.2222222222222222,0.5,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
25 - 34,0,Ensino Superior,UK,Branco,0.35,0.7666666666666667,0.75,0.8666666666666667,0.7857142857142858,0.2222222222222222,0.5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
18 - 24,1,Ensino Superior,Canada,Branco,0.5833333333333334,0.45,0.8666666666666667,0.6333333333333333,0.9047619047619048,0.2222222222222222,0.5,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0
35 - 44,0,Ensino Superior,UK,Branco,0.7333333333333333,0.6666666666666666,0.8833333333333333,0.9,0.5238095238095238,0.3333333333333333,0.5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
45 - 54,1,Ensino Superior,UK,Branco,0.5166666666666667,0.8333333333333334,0.9166666666666666,0.8666666666666667,0.7857142857142858,0.3333333333333333,0.5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
45 - 54,0,Ensino Superior,UK,Branco,0.48333333333333334,0.7,0.7166666666666667,0.7666666666666667,0.5952380952380952,0.4444444444444444,0.5,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
45 - 54,1,Ensino Superior,UK,Branco,0.6666666666666666,0.55,0.6666666666666666,0.8333333333333334,0.42857142857142866,0.2222222222222222,0.6,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
45 - 54,1,Ensino Superior,USA,Branco,0.8,0.5166666666666667,0.8166666666666667,0.6166666666666667,0.5952380952380952,0.2222222222222222,0.6,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
45 - 54,0,Ensino Superior,Canada,Outro,0.35,0.6333333333333333,0.8833333333333333,0.8833333333333333,0.5952380952380952,0.2222222222222222,0.6,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0
55 - 64,0,Ensino Superior,USA,Branco,0.3333333333333333,0.75,0.8666666666666667,0.8833333333333333,0.7380952380952382,0.3333333333333333,0.6,1,1,0,1,1,1,1,1,1,0,1,0,1,1,0,1,0,0,0,1,1,1,0
